"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
1965,97,"AFortas",-1.403,0.274,-1.393,-1.972,-0.895
1966,97,"AFortas",-1.563,0.233,-1.555,-2.035,-1.134
1967,97,"AFortas",-1.476,0.244,-1.467,-1.982,-1.024
1968,97,"AFortas",-1.287,0.315,-1.274,-1.942,-0.708
1962,96,"AJGoldberg",-1.095,0.228,-1.089,-1.566,-0.672
1963,96,"AJGoldberg",-1.208,0.213,-1.203,-1.634,-0.809
1964,96,"AJGoldberg",-0.861,0.261,-0.853,-1.4,-0.367
1987,106,"AMKennedy",1.192,0.278,1.184,0.663,1.761
1988,106,"AMKennedy",1.463,0.228,1.459,1.031,1.922
1989,106,"AMKennedy",1.356,0.217,1.35,0.949,1.793
1990,106,"AMKennedy",1.218,0.216,1.213,0.807,1.656
1991,106,"AMKennedy",0.884,0.204,0.879,0.502,1.294
1992,106,"AMKennedy",1.045,0.217,1.04,0.633,1.485
1993,106,"AMKennedy",0.88,0.22,0.876,0.459,1.321
1994,106,"AMKennedy",0.845,0.212,0.843,0.436,1.269
1995,106,"AMKennedy",0.714,0.213,0.709,0.309,1.139
1996,106,"AMKennedy",0.851,0.214,0.846,0.443,1.287
1997,106,"AMKennedy",0.813,0.225,0.808,0.382,1.27
1998,106,"AMKennedy",0.916,0.227,0.912,0.489,1.38
1999,106,"AMKennedy",1.067,0.227,1.065,0.634,1.524
2000,106,"AMKennedy",0.952,0.225,0.945,0.526,1.403
2001,106,"AMKennedy",1.04,0.231,1.035,0.595,1.503
2002,106,"AMKennedy",0.882,0.237,0.877,0.431,1.365
2003,106,"AMKennedy",0.743,0.224,0.739,0.312,1.196
2004,106,"AMKennedy",0.537,0.22,0.532,0.115,0.977
2005,106,"AMKennedy",0.485,0.223,0.482,0.06,0.934
2006,106,"AMKennedy",0.441,0.203,0.439,0.041,0.845
2007,106,"AMKennedy",0.397,0.22,0.395,-0.031,0.839
2008,106,"AMKennedy",0.55,0.204,0.548,0.163,0.96
2009,106,"AMKennedy",0.514,0.216,0.51,0.099,0.942
2010,106,"AMKennedy",0.576,0.214,0.572,0.164,0.998
2011,106,"AMKennedy",0.293,0.21,0.291,-0.109,0.706
2012,106,"AMKennedy",0.24,0.205,0.24,-0.159,0.641
2013,106,"AMKennedy",0.063,0.233,0.064,-0.394,0.516
2014,106,"AMKennedy",-0.233,0.213,-0.231,-0.658,0.181
2015,106,"AMKennedy",-0.282,0.234,-0.28,-0.739,0.177
2016,106,"AMKennedy",-0.055,0.23,-0.054,-0.51,0.399
2017,106,"AMKennedy",0.396,0.239,0.394,-0.07,0.874
1986,105,"AScalia",1.428,0.24,1.418,0.983,1.922
1987,105,"AScalia",1.643,0.253,1.636,1.169,2.155
1988,105,"AScalia",1.811,0.261,1.802,1.326,2.346
1989,105,"AScalia",2.015,0.276,2.009,1.495,2.578
1990,105,"AScalia",2.201,0.312,2.192,1.613,2.839
1991,105,"AScalia",2.545,0.321,2.537,1.938,3.207
1992,105,"AScalia",2.578,0.355,2.566,1.907,3.29
1993,105,"AScalia",2.654,0.368,2.649,1.962,3.391
1994,105,"AScalia",2.882,0.381,2.873,2.168,3.657
1995,105,"AScalia",3.152,0.394,3.144,2.409,3.95
1996,105,"AScalia",3.355,0.408,3.346,2.583,4.172
1997,105,"AScalia",3.424,0.42,3.415,2.641,4.279
1998,105,"AScalia",3.404,0.43,3.392,2.598,4.285
1999,105,"AScalia",3.48,0.427,3.472,2.672,4.351
2000,105,"AScalia",3.473,0.416,3.455,2.691,4.321
2001,105,"AScalia",3.31,0.42,3.293,2.526,4.173
2002,105,"AScalia",2.999,0.419,2.983,2.224,3.866
2003,105,"AScalia",2.806,0.409,2.792,2.039,3.651
2004,105,"AScalia",2.586,0.401,2.573,1.835,3.407
2005,105,"AScalia",2.536,0.392,2.526,1.794,3.324
2006,105,"AScalia",2.529,0.369,2.519,1.841,3.289
2007,105,"AScalia",2.397,0.357,2.385,1.731,3.124
2008,105,"AScalia",2.294,0.352,2.285,1.619,3.027
2009,105,"AScalia",2.28,0.341,2.273,1.632,2.972
2010,105,"AScalia",2.112,0.345,2.105,1.466,2.811
2011,105,"AScalia",2.036,0.331,2.029,1.41,2.71
2012,105,"AScalia",1.71,0.331,1.7,1.095,2.39
2013,105,"AScalia",1.574,0.345,1.563,0.93,2.291
2014,105,"AScalia",1.5,0.351,1.483,0.857,2.243
